leiloeiro,dataleilao,placa,chassi,lote,datainc
Copasa Leiloes-5,19/08/2021,OWL8842,9C2KD0550ER314122,26,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8849,9C2KD0550ER314117,27,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8856,9C2KD0550ER207594,28,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8841,9C2KD0550ER207673,29,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8886,9C2KD0550ER207685,30,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8945,9C2KD0550ER207595,31,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8955,9C2KD0550ER207619,32,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8985,9C2KD0550ER209695,33,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM8994,9C2KD0550ER209623,34,08/02/2023
Copasa Leiloes-5,19/08/2021,OWM9002,9C2KD0550ER209621,35,08/02/2023
Copasa Leiloes-5,19/08/2021,OWT7587,9C2KD0550ER316272,36,08/02/2023
Copasa Leiloes-5,19/08/2021,OWT7605,9C2KD0550ER316298,37,08/02/2023
Copasa Leiloes-5,19/08/2021,OWT8587,9C2KD0550ER317344,38,08/02/2023
Copasa Leiloes-5,19/08/2021,OWT8612,9C2KD0550ER317277,39,08/02/2023
Copasa Leiloes-5,19/08/2021,PUJ7935,9C2KD0550ER113866,40,08/02/2023
Copasa Leiloes-5,25/08/2021,GXR6343,9C2JC30302R000787,1,08/02/2023
Copasa Leiloes-5,25/08/2021,GXR6493,9C2JC30302R000786,2,08/02/2023
Copasa Leiloes-5,25/08/2021,HAL7729,9C6KE044040037530,3,08/02/2023
Copasa Leiloes-5,25/08/2021,HAL7907,9C6KE044040037009,4,08/02/2023
Copasa Leiloes-5,25/08/2021,HAL7969,9C6KE038040012303,5,08/02/2023
Copasa Leiloes-5,25/08/2021,HAL7999,9C6KE044040037082,6,08/02/2023
Copasa Leiloes-5,25/08/2021,HAL8017,9C6KE038040012306,7,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3687,9C6KE043050050955,8,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3708,9C6KE043050050929,9,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3728,9C6KE043050050481,10,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3739,9C6KE043050050917,11,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3756,9C6KE043050050999,12,08/02/2023
Copasa Leiloes-5,25/08/2021,HCN3771,9C6KE043050050984,13,08/02/2023
Copasa Leiloes-5,25/08/2021,HDY5988,9C6KE090070012960,14,08/02/2023
